institution,program
Conestoga College,Applied Health Information Science
Holland College,Culinary operations
Northern Alberta Institute of Technology (NAIT),Bachelor of Applied Information Systems Technology - Information Systems
Northern Alberta Institute of Technology (NAIT),Bachelor of Applied Information Systems Technology - Network Management
Niagara College ,Honours Bachelor of Business Administration (Hospitality)
Niagara College ,Honours Bachelor of Business Administration (Human Resources)
Niagara College ,Honours Bachelor of Business Administration (International Commerce and Global Development)
George Brown College,Honours Bachelor of Commerce (Culinary Management)
University of Toronto,Computer and Electrical Engineering
University of Toronto,Engineering Science
University of Toronto,Industrial Engineering
University of Toronto,Materials Engineering
University of Toronto,Mechanical Engineering
University of Toronto,Mineral Engineering
Sheridan College,Honours Bachelor of Community Safety
Humber College,Clinical Research
Georgian College  ,Computer and Network Systems Security
Conestoga College,Culinary Skills
Conestoga College,Human Resources Management
Georgian College  ,Human Resources Management
Georgian College  ,International Business Management
Langara College,Internet/ Web Computing and Software Development
Conestoga College,Mechanical Techniques - Millwright
New Brunswick Community College (NBCC) - Saint-John Campus,Office Administration -Executive
Humber College,Regulatory Affairs
Georgian College  ,Research Analyst
Georgian College  ,Snow Resort Fundamentals
Nicola Valley Institute of Technology,Culinary Arts Professional Cook Level 1
Red River College,Pharmaceutical manufacturing
Conestoga College,Food Processing Technician
Conestoga College,Powerline Technician
Reeves College,Accounting and Payroll Administration
Reeves College,Business Administration Management
"CDI College of Business, Technology and Health Care (Edmonton City Centre)",Business and Digital Marketing Management
"CDI College of Business, Technology and Health Care (Edmonton South Campus)",Business and Digital Marketing Management
"CDI College of Business, Technology and Health Care (Edmonton South Campus)",Human Resources Administration
"CDI College of Business, Technology and Health Care (Edmonton City Centre)",Human Resources and Payroll Coordinator
Reeves College,Logistics and Supply Chain Management
"CDI College of Business, Technology and Health Care (Edmonton South Campus)",Logistics and Supply Chain Management
Reeves College,Medical Office Administration
New Brunswick Community College (NBCC) - Saint-John Campus,Office Administration -Executive
Reeves College,Office Administration
Reeves College,Social Media and Web Marketing
"CDI College of Business, Technology and Health Care (Edmonton City Centre)",Accounting and Payroll Administration
"CDI College of Business, Technology and Health Care (Edmonton South Campus)",Accounting and Payroll Administration
Humber College,Public Relations
British Columbia Institute of Technology (BCIT),Computer applications (High Tech Professional Program)
British Columbia Institute of Technology (BCIT),Computer applications (High Tech Professional Program)
Manitoba Institute of Trades and Technology (MITT),Cyber Defence and Cloud Administration 
Reeves College,Graphic Design
Manitoba Institute of Trades and Technology (MITT),Network and Systems Administrator
Manitoba Institute of Trades and Technology (MITT),Software Developper
University of Ottawa,Law
Reeves College,Legal Assistant
"CDI College of Business, Technology and Health Care (Edmonton City Centre)",Paralegal
"CDI College of Business, Technology and Health Care (Edmonton South Campus)",Paralegal
