2024,What Program Did You Apply To?,What University Did You Apply To?,0,accepted
2024,Honors Computer Science,Alberta,92,accepted
2024,Brock University - Bsc Honours: Computer Science - Co-Op,Brock University,86,accepted
2024,Brock University - Bsc Honours: Computer Science,Brock University,91,accepted
2024,"B. Computer Science Honors, Co-Op, Artificial Intelligence And Machine Learning",Carleton University,91,accepted
2024,B. Computer Science Honours With Ai Specialization + Coop,Carleton University,95,accepted
2024,Carleton University - B. Computer Science Honours (Cybersecurity (Co-Op Optional)),Carleton University,96,accepted
2024,Computer Science,Carleton University,95,accepted
2024,Computer Science (Cyber Security Stream) Coop,Carleton University,98,accepted
2024,"B Computer Science Honours, Co-Op, Ai/Ml Stream",Carleton University,97,accepted
2024,B. Computer Science Honours,Carleton University,96,accepted
2024,"B Computer Science Honours, Co-Op, Ai/Ml Stream",Carleton University,96,accepted
2024,Carleton Computer Science (Co-Op),Carleton University,87,accepted
2024,Bachelor Of Computer Science Honours,Carleton University,95,accepted
2024,B. Computer Science Honours,Carleton University,96,accepted
2024,"B Computer Science Honours, Co-Op, Game Development",Carleton University,95,accepted
2024,B. Computer Science Honours (Computer Game Development (Co-Op Optional)),Carleton University,92,accepted
2024,Bachelor Of Computer Science Honours (Co-Op),Carleton University,98,accepted
2024,Computer Science With Co-Op (Honours Bachelor Of Scienc,Carleton University,96,accepted
2024,"B. Computer Science Honours, Co-Op",Carleton University,92,accepted
2024,B. Computer Science Honours Co-Op,Carleton University,91,accepted
2024,Computer Science Honours (Co-Op),Carleton University,87,accepted
2024,B. Computer Science Honours,Carleton University,96,accepted
2024,Honours Computer Science Co-Op,Carleton University,98,accepted
2024,B. Computer Science Honours,Carleton University,93,accepted
2024,"B. Computer Science Honours, Co-Op, Ai/Ml Stream",Carleton University,90,accepted
2024,"B. Computer Science Honours, Co-Op",Carleton University,91,accepted
2024,Cs Co Op,Carleton University,91,accepted
2024,B. Computer Science Honours Co-Op,Carleton University,94,accepted
2024,B. Computer Science Honours,Carleton University,90,accepted
2024,B. Computer Science Honours (Co-Op),Carleton University,92,accepted
2024,B. Computer Science Honours (Co-Op),Carleton University,91,accepted
2024,B. Computer Science Honours,Carleton University,92,accepted
2024,B. Computer Science Honours,Carleton University,87,accepted
2024,B. Computer Science Honours (Artificial Intelligence And Machine Learning (Co-Op Optional)),Carleton University,88,accepted
2024,Computer Science (Ai & Machine Learning),Carleton University,92,accepted
2024,Dal Cs,Dalhousie,91,accepted
2024,Computer Science,Dalhousie University,90,accepted
2024,Concurrent Ba (Honours) Bed Intermediate/Senior (English),Brock University,89,accepted
2024,Computer Science,University Of Ottawa,97,accepted
2024,Computer Science,University Of Ottawa,99,accepted
2024,Computer Science,University Of Ottawa,98,accepted
2024,Computer Science,University Of Ottawa,95,accepted
2024,Computer Science,University Of Ottawa,95,accepted
2024,University Of Ottawa - Up: Computer Science,University Of Ottawa,98,accepted
2024,Computer Science,University Of Waterloo,83,accepted
2024,Utsg Computer Science,University Of Toronto,94,accepted
2024,Computer Science,University Of Toronto,98,accepted
2024,Computer Science,University Of Toronto,99,accepted
2024,Computer Science,University Of Toronto,96,accepted
2024,Computer Science,University Of Toronto,98,accepted
2024,Computer Science,University Of Toronto,97,accepted
2024,Computer Science,University Of Toronto,87,accepted
2024,Computer Science,University Of Toronto,86,accepted
2024,Computer Science,University Of Toronto,99,accepted
2024,Computer Science,University Of Toronto,95,accepted
2024,Computer Science - St. George Campus,University Of Toronto,99,accepted
2024,Computer Science - St. George Campus,University Of Toronto,98,accepted
2024,Computer Science - St. George Campus,University Of Toronto,98,accepted
2024,Computer Science - St. George Campus,University Of Toronto,97,accepted
2024,Computer Science - St. George Campus,University Of Toronto,97,accepted
2024,Computer Science - St. George Campus,University Of Toronto,96,accepted
2024,Computer Science - St. George Campus,University Of Toronto,96,accepted
2024,Computer Science - St. George Campus,University Of Toronto,95,accepted
2024,Computer Science - St. George Campus,University Of Toronto,98,accepted
2024,Computer Science (Utsg),University Of Toronto,99,accepted
2024,Computer Science St George,University Of Toronto,97,accepted
2024,Utsg Cs,University Of Toronto,97,accepted
2024,Computer Science With Co-Op (Hbsc.Comp.Pgc),Lakehead University,98,accepted
2024,Computer Science,Ontario Tech University,91,accepted
2024,Computer Science (Co-Op),Ontario Tech University,97,accepted
2024,Computer Science (Co-Op Available),Toronto Metropolitan University,98,accepted
2024,Computer Science (Co-Op Available),Toronto Metropolitan University,96,accepted
2024,Computer Science (Honours) (Co-Op Available),Toronto Metropolitan University,93,accepted
2024,Computer Science (Honours Science),Trent University,85,accepted
2024,Computer Science,University Of Alberta,94,accepted
2024,"Bachelor Of Computing, Honours Co-Op Major Computer Science",University Of Guelph,98,accepted
2024,Computer Science,University Of Guelph,96,accepted
2024,Computer Science (Co-Op And Regular),University Of Guelph,93,accepted
2024,Computer Science (Co-Op),University Of Guelph,97,accepted
2024,Computer Science (Co-Op),University Of Guelph,92,accepted
2024,Guelph Cs Co Op,University Of Guelph,97,accepted
2024,Computer Science,University Of Toronto,98,accepted
2024,"Computer Science, Mathematics & Statistics",University Of Toronto,95,accepted
2024,Computer Science Coop,University Of Waterloo,97,accepted
2024,Waterloo Computer Science,University Of Waterloo,96,accepted
2024,University Of Waterloo Computer Science,University Of Waterloo,87,accepted
2024,Computer Science - Co-Op,University Of Waterloo,99,accepted
2024,(Computer Science (Bsc)),York University,87,accepted
2024,"Computer Science (Bsc, Ibsc) - Including Co-Op",York University,90,accepted
2024,"Computer Science (Bsc, Ibsc) - Including Co-Op",York University,92,accepted
2024,Computer Science + Co-Op,York University,93,accepted
2024,Computer Science Bsc (Co-Op),York University,90,accepted
2024,"York University - Computer Science (Bsc, Ibsc) - Including Co-Op",York University,88,accepted
2024,Computer Science,Mcmaster University,99,accepted
